dataset,labeled_ratio,metric,metric_zh,baseline,dcgfs,delta
7pt,0.05,overall_a_acc,整体任务准确率,0.6708860759493671,0.7037974683544304,0.032911392405063236
7pt,0.05,overall_c_acc,整体概念准确率,0.6878081279147236,0.6832778147901399,-0.004530313124583744
7pt,0.05,macro_f1,宏平均F1,0.49020607805246674,0.5535600439006012,0.06335396584813445
7pt,0.05,balanced_accuracy,平衡准确率,0.48026576609037647,0.5221598151678535,0.041894049077477
7pt,0.05,worst_class_acc,最差类别准确率,0.21951219512195122,0.2777777777777778,0.05826558265582656
7pt,0.05,selected_target_acc,自动弱势目标类准确率,0.6708860759493671,0.7037974683544304,0.032911392405063236
7pt,0.05,selected_base_acc,自动基座类准确率,0.7617554858934169,0.7836990595611285,0.021943573667711596
7pt,0.05,target_to_base_rate,目标类错分为基座类比例,0.25063291139240507,0.22278481012658227,-0.0278481012658228
7pt,0.20,overall_a_acc,整体任务准确率,0.5746835443037974,0.6582278481012658,0.08354430379746839
7pt,0.20,overall_c_acc,整体概念准确率,0.7140572951365756,0.7283144570286476,0.014257161892071951
7pt,0.20,macro_f1,宏平均F1,0.3919775948631187,0.44666883686207104,0.05469124199895235
7pt,0.20,balanced_accuracy,平衡准确率,0.3779695323947599,0.46255658409928174,0.08458705170452181
7pt,0.20,worst_class_acc,最差类别准确率,0.0975609756097561,0.1111111111111111,0.013550135501355009
7pt,0.20,selected_target_acc,自动弱势目标类准确率,0.5746835443037974,0.6582278481012658,0.08354430379746839
7pt,0.20,selected_base_acc,自动基座类准确率,0.6677115987460815,0.7523510971786834,0.08463949843260188
7pt,0.20,target_to_base_rate,目标类错分为基座类比例,0.3392405063291139,0.22784810126582278,-0.11139240506329111
