class_id,class_name,group,samples,accuracy_baseline,accuracy_dcgfs,accuracy_delta,f1_baseline,f1_dcgfs,f1_delta
1,Black footed Albatross,普通非配对类,30,63.33,46.67,-16.67,46.34,49.12,2.78
2,Laysan Albatross,普通非配对类,30,66.67,66.67,0.0,75.47,67.8,-7.68
3,Sooty Albatross,普通非配对类,28,17.86,53.57,35.71,29.41,56.6,27.19
4,Groove billed Ani,普通非配对类,30,80.0,76.67,-3.33,58.54,62.16,3.63
5,Crested Auklet,普通非配对类,14,78.57,71.43,-7.14,66.67,66.67,-0.0
6,Least Auklet,普通非配对类,11,90.91,81.82,-9.09,95.24,85.71,-9.52
7,Parakeet Auklet,普通非配对类,23,86.96,95.65,8.7,80.0,95.65,15.65
8,Rhinoceros Auklet,普通非配对类,18,44.44,38.89,-5.56,55.17,50.0,-5.17
9,Brewer Blackbird,普通非配对类,29,34.48,37.93,3.45,38.46,43.14,4.68
10,Red winged Blackbird,普通非配对类,30,73.33,76.67,3.33,75.86,73.02,-2.85
11,Rusty Blackbird,普通非配对类,30,30.0,40.0,10.0,37.5,46.15,8.65
12,Yellow headed Blackbird,普通非配对类,26,76.92,84.62,7.69,85.11,88.0,2.89
13,Bobolink,普通非配对类,30,60.0,76.67,16.67,72.0,79.31,7.31
14,Indigo Bunting,普通非配对类,30,66.67,80.0,13.33,66.67,75.0,8.33
15,Lazuli Bunting,自动基座类,28,82.14,92.86,10.71,76.67,77.61,0.95
16,Painted Bunting,普通非配对类,28,78.57,85.71,7.14,81.48,92.31,10.83
17,Cardinal,普通非配对类,27,88.89,81.48,-7.41,85.71,83.02,-2.7
18,Spotted Catbird,普通非配对类,15,73.33,86.67,13.33,75.86,89.66,13.79
19,Gray Catbird,普通非配对类,29,55.17,75.86,20.69,65.31,74.58,9.27
20,Yellow breasted Chat,普通非配对类,29,68.97,62.07,-6.9,70.18,72.0,1.82
21,Eastern Towhee,普通非配对类,30,76.67,80.0,3.33,77.97,84.21,6.24
22,Chuck will Widow,普通非配对类,26,23.08,53.85,30.77,35.29,58.33,23.04
23,Brandt Cormorant,普通非配对类,29,41.38,51.72,10.34,34.78,32.97,-1.82
24,Red faced Cormorant,普通非配对类,22,72.73,81.82,9.09,71.11,83.72,12.61
25,Pelagic Cormorant,普通非配对类,30,20.0,50.0,30.0,27.91,45.45,17.55
26,Bronzed Cowbird,普通非配对类,30,76.67,66.67,-10.0,70.77,65.57,-5.2
27,Shiny Cowbird,普通非配对类,30,36.67,23.33,-13.33,32.84,29.79,-3.05
28,Brown Creeper,普通非配对类,29,79.31,79.31,0.0,80.7,83.64,2.93
29,American Crow,普通非配对类,30,30.0,20.0,-10.0,31.58,27.91,-3.67
30,Fish Crow,普通非配对类,30,36.67,46.67,10.0,25.29,32.94,7.65
31,Black billed Cuckoo,普通非配对类,30,13.33,46.67,33.33,22.86,58.33,35.48
32,Mangrove Cuckoo,普通非配对类,23,30.43,39.13,8.7,35.9,38.3,2.4
33,Yellow billed Cuckoo,普通非配对类,29,48.28,58.62,10.34,54.9,59.65,4.75
34,Gray crowned Rosy Finch,普通非配对类,29,65.52,79.31,13.79,77.55,82.14,4.59
35,Purple Finch,普通非配对类,30,83.33,86.67,3.33,72.46,85.25,12.78
36,Northern Flicker,普通非配对类,30,80.0,93.33,13.33,85.71,88.89,3.17
37,Acadian Flycatcher,普通非配对类,29,6.9,31.03,24.14,12.9,37.5,24.6
38,Great Crested Flycatcher,普通非配对类,30,53.33,63.33,10.0,41.56,52.78,11.22
39,Least Flycatcher,普通非配对类,29,3.45,41.38,37.93,6.06,24.74,18.68
40,Olive sided Flycatcher,普通非配对类,30,43.33,50.0,6.67,42.62,50.85,8.22
41,Scissor tailed Flycatcher,普通非配对类,30,66.67,86.67,20.0,66.67,88.14,21.47
