model,pair_id,target_class_id,target_class_name,base_class_id,base_class_name,target_samples,target_correct,target_accuracy,target_pred_as_base,target_to_base_rate
SSCBM (Baseline),0,65,Slaty backed Gull,62,Herring Gull,20,0,0.0,11,55.0
SSCBM (Baseline),1,59,California Gull,62,Herring Gull,30,2,6.67,20,66.67
SSCBM (Baseline),2,144,Common Tern,141,Artic Tern,30,4,13.33,11,36.67
SSCBM (Baseline),3,74,Florida Jay,15,Lazuli Bunting,30,20,66.67,0,0.0
SSCBM (Baseline),4,176,Prairie Warbler,163,Cape May Warbler,30,1,3.33,26,86.67
D-CGFS target_score_w015,0,65,Slaty backed Gull,62,Herring Gull,20,4,20.0,1,5.0
D-CGFS target_score_w015,1,59,California Gull,62,Herring Gull,30,9,30.0,6,20.0
D-CGFS target_score_w015,2,144,Common Tern,141,Artic Tern,30,6,20.0,12,40.0
D-CGFS target_score_w015,3,74,Florida Jay,15,Lazuli Bunting,30,25,83.33,0,0.0
D-CGFS target_score_w015,4,176,Prairie Warbler,163,Cape May Warbler,30,16,53.33,10,33.33
