class_id,class_name,group,samples,accuracy_baseline,accuracy_dcgfs,accuracy_delta,f1_baseline,f1_dcgfs,f1_delta
164,Cerulean Warbler,普通非配对类,30,80.0,40.0,-40.0,78.69,57.14,-21.55
130,Tree Sparrow,普通非配对类,30,50.0,20.0,-30.0,44.78,31.58,-13.2
43,Yellow bellied Flycatcher,普通非配对类,29,58.62,31.03,-27.59,26.77,30.0,3.23
146,Forsters Tern,普通非配对类,30,60.0,36.67,-23.33,48.65,39.29,-9.36
64,Ring billed Gull,普通非配对类,30,46.67,26.67,-20.0,44.44,30.19,-14.26
62,Herring Gull,自动基座类,30,73.33,53.33,-20.0,28.95,45.07,16.12
120,Fox Sparrow,普通非配对类,30,73.33,53.33,-20.0,55.7,65.31,9.61
72,Pomarine Jaeger,普通非配对类,30,53.33,33.33,-20.0,35.96,41.67,5.71
155,Warbling Vireo,普通非配对类,30,56.67,36.67,-20.0,36.96,37.93,0.97
50,Eared Grebe,普通非配对类,30,73.33,56.67,-16.67,63.77,56.67,-7.1
1,Black footed Albatross,普通非配对类,30,63.33,46.67,-16.67,46.34,49.12,2.78
113,Baird Sparrow,普通非配对类,20,55.0,40.0,-15.0,57.89,55.17,-2.72
27,Shiny Cowbird,普通非配对类,30,36.67,23.33,-13.33,32.84,29.79,-3.05
52,Pied billed Grebe,普通非配对类,30,86.67,73.33,-13.33,81.25,80.0,-1.25
160,Black throated Blue Warbler,普通非配对类,29,82.76,72.41,-10.34,78.69,76.36,-2.32
