class_id,class_name,group,samples,accuracy_baseline,accuracy_dcgfs,accuracy_delta,f1_baseline,f1_dcgfs,f1_delta
182,Yellow Warbler,普通非配对类,30,16.67,76.67,60.0,28.57,83.64,55.06
55,Evening Grosbeak,普通非配对类,30,23.33,76.67,53.33,37.84,85.19,47.35
176,Prairie Warbler,自动弱势目标类,30,3.33,53.33,50.0,6.25,58.18,51.93
96,Hooded Oriole,普通非配对类,30,30.0,73.33,43.33,42.86,72.13,29.27
140,Summer Tanager,普通非配对类,30,33.33,73.33,40.0,50.0,83.02,33.02
165,Chestnut sided Warbler,普通非配对类,30,20.0,60.0,40.0,32.43,73.47,41.04
39,Least Flycatcher,普通非配对类,29,3.45,41.38,37.93,6.06,24.74,18.68
66,Western Gull,普通非配对类,30,3.33,40.0,36.67,6.25,43.64,37.39
51,Horned Grebe,普通非配对类,30,33.33,70.0,36.67,46.51,64.62,18.1
116,Chipping Sparrow,普通非配对类,30,30.0,66.67,36.67,41.86,68.97,27.11
3,Sooty Albatross,普通非配对类,28,17.86,53.57,35.71,29.41,56.6,27.19
156,White eyed Vireo,普通非配对类,30,30.0,63.33,33.33,46.15,73.08,26.92
31,Black billed Cuckoo,普通非配对类,30,13.33,46.67,33.33,22.86,58.33,35.48
188,Pileated Woodpecker,普通非配对类,30,50.0,83.33,33.33,66.67,89.29,22.62
153,Philadelphia Vireo,普通非配对类,29,10.34,41.38,31.03,16.67,42.86,26.19
